Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0152868459	101325	101325	101325	101325	0	0	0	0	0	0	0	3
2	2	0	0.0305736918	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
3	3	0	0.0458605377	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
4	3	0	0.0611473836	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
5	3	0	0.0764342295	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
6	4	0	0.0917210754	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
7	4	0	0.107007921	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
8	4	0	0.122294767	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
9	5	0	0.137581613	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
10	5	0	0.152868459	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
11	5	0	0.168155305	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
12	5	0	0.183442151	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
13	6	0	0.198728997	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
14	6	0	0.214015843	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
15	6	0	0.229302689	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
16	7	0	0.244589534	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
17	7	0	0.25987638	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
18	7	0	0.275163226	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
19	8	0	0.290450072	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
20	8	0	0.305736918	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
21	8	0	0.321023764	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
22	8	0	0.33631061	101325	101325	101325	101325	7.27595761e-11	0	0	0	0	0	0	3
23	9	0	0.351597456	101325	101325	101325	101325	7.27595761e-11	0	0	0	0	0	0	3
24	9	0	0.366884302	101325	101325	101325	101325	7.27595761e-11	0	0	0	0	0	0	3
25	9	0	0.382171148	101325	101325	101325	101325	7.27595761e-11	0	0	0	0	0	0	3
26	10	0	0.397457993	101325	101325	101325	101325	7.27595761e-11	0	0	0	0	0	0	3
27	10	0	0.412744839	101325	101325	101325	101325	7.27595761e-11	0	0	0	0	0	0	3
28	10	0	0.428031685	101325	101325	101325	101325	7.27595761e-11	0	0	0	0	0	0	3
29	10	0	0.443318531	101325	101325	101325	101325	7.27595761e-11	0	0	0	0	0	0	3
30	11	0	0.458605377	101325	101325	101325	101325	7.27595761e-11	0	0	0	0	0	0	3
31	11	0	0.473892223	101325	101325	101325	101325	7.27595761e-11	0	0	0	0	0	0	3
32	11	0	0.489179069	101325	101325	101325	101325	7.27595761e-11	0	0	0	0	0	0	3
33	12	0	0.504465915	101325	101325	101325	101325	7.27595761e-11	0	0	0	0	0	0	3
34	12	0	0.519752761	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
35	12	0	0.535039607	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
36	12	0	0.550326453	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
37	13	0	0.565613298	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
38	13	0	0.580900144	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
39	13	0	0.59618699	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
40	14	0	0.611473836	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
41	14	0	0.626760682	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
42	14	0	0.642047528	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
43	15	0	0.657334374	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
44	15	0	0.67262122	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
45	15	0	0.687908066	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
46	15	0	0.703194912	101325	101325	101325	101325	4.36557457e-11	0	0	0	0	0	0	3
47	16	0	0.718481757	101325	101325	101325	101325	4.36557457e-11	0	0	0	0	0	0	3
48	16	0	0.733768603	101325	101325	101325	101325	2.91038305e-11	0	0	0	0	0	0	3
49	16	0	0.749055449	101325	101325	101325	101325	2.91038305e-11	0	0	0	0	0	0	3
50	17	0	0.764342295	101325	101325	101325	101325	2.91038305e-11	0	0	0	0	0	0	3
51	17	0	0.779629141	101325	101325	101325	101325	4.36557457e-11	0	0	0	0	0	0	3
52	17	0	0.794915987	101325	101325	101325	101325	4.36557457e-11	0	0	0	0	0	0	3
53	17	0	0.810202833	101325	101325	101325	101325	4.36557457e-11	0	0	0	0	0	0	3
54	18	0	0.825489679	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
55	18	0	0.840776525	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
56	18	0	0.856063371	101325	101325	101325	101325	5.82076609e-11	0	0	0	0	0	0	3
57	19	0	0.871350216	101325	101325	101325	101325	4.36557457e-11	0	0	0	0	0	0	3
58	19	0	0.886637062	101325	101325	101325	101325	4.36557457e-11	0	0	0	0	0	0	3
59	19	0	0.901923908	101325	101325	101325	101325	4.36557457e-11	0	0	0	0	0	0	3
60	19	0	0.917210754	101325	101325	101325	101325	4.36557457e-11	0	0	0	0	0	0	3
61	20	0	0.9324976	101325	101325	101325	101325	4.36557457e-11	0	0	0	0	0	0	3
62	20	0	0.947784446	101325	101325	101325	101325	4.36557457e-11	0	0	0	0	0	0	3
63	20	0	0.963071292	101325	101325	101325	101325	4.36557457e-11	0	0	0	0	0	0	3
64	21	0	0.978358138	101325	101325	101325	101325	4.36557457e-11	0	0	0	0	0	0	3
65	21	0	0.993644984	101325	101325	101325	101325	4.36557457e-11	0	0	0	0	0	0	3
66	21	0	1.00893183	101325	101325	101325	101325	4.36557457e-11	0.00101325	0	100	0	0	0	3
