Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0152868459	0	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.0305736918	0	0	0	0	0	0	0	0	0	0	0	3
3	3	0	0.0458605377	0	0	0	0	0	0	0	0	0	0	0	3
4	3	0	0.0611473836	0	0	0	0	0	0	0	0	0	0	0	3
5	3	0	0.0764342295	0	0	0	0	0	0	0	0	0	0	0	3
6	4	0	0.0917210754	0	0	0	0	0	0	0	0	0	0	0	3
7	4	0	0.107007921	0	0	0	0	0	0	0	0	0	0	0	3
8	4	0	0.122294767	0	0	0	0	0	0	0	0	0	0	0	3
9	5	0	0.137581613	0	0	0	0	0	0	0	0	0	0	0	3
10	5	0	0.152868459	0	0	0	0	0	0	0	0	0	0	0	3
11	5	0	0.168155305	0	0	0	0	0	0	0	0	0	0	0	3
12	5	0	0.183442151	0	0	0	0	0	0	0	0	0	0	0	3
13	6	0	0.198728997	0	0	0	0	0	0	0	0	0	0	0	3
14	6	0	0.214015843	0	0	0	0	0	0	0	0	0	0	0	3
15	6	0	0.229302689	0	0	0	0	0	0	0	0	0	0	0	3
16	7	0	0.244589534	0	0	0	0	0	0	0	0	0	0	0	3
17	7	0	0.25987638	0	0	0	0	0	0	0	0	0	0	0	3
18	7	0	0.275163226	0	0	0	0	0	0	0	0	0	0	0	3
19	8	0	0.290450072	0	0	0	0	0	0	0	0	0	0	0	3
20	8	0	0.305736918	0	0	0	0	0	0	0	0	0	0	0	3
21	8	0	0.321023764	0	0	0	0	0	0	0	0	0	0	0	3
22	8	0	0.33631061	0	0	0	0	0	0	0	0	0	0	0	3
23	9	0	0.351597456	0	0	0	0	0	0	0	0	0	0	0	3
24	9	0	0.366884302	0	0	0	0	0	0	0	0	0	0	0	3
25	9	0	0.382171148	0	0	0	0	0	0	0	0	0	0	0	3
26	10	0	0.397457993	0	0	0	0	0	0	0	0	0	0	0	3
27	10	0	0.412744839	0	0	0	0	0	0	0	0	0	0	0	3
28	10	0	0.428031685	0	0	0	0	0	0	0	0	0	0	0	3
29	10	0	0.443318531	0	0	0	0	0	0	0	0	0	0	0	3
30	11	0	0.458605377	0	0	0	0	0	0	0	0	0	0	0	3
31	11	0	0.473892223	0	0	0	0	0	0	0	0	0	0	0	3
32	11	0	0.489179069	0	0	0	0	0	0	0	0	0	0	0	3
33	12	0	0.504465915	0	0	0	0	0	0	0	0	0	0	0	3
34	12	0	0.519752761	0	0	0	0	0	0	0	0	0	0	0	3
35	12	0	0.535039607	0	0	0	0	0	0	0	0	0	0	0	3
36	12	0	0.550326453	0	0	0	0	0	0	0	0	0	0	0	3
37	13	0	0.565613298	0	0	0	0	0	0	0	0	0	0	0	3
38	13	0	0.580900144	0	0	0	0	0	0	0	0	0	0	0	3
39	13	0	0.59618699	0	0	0	0	0	0	0	0	0	0	0	3
40	14	0	0.611473836	0	0	0	0	0	0	0	0	0	0	0	3
41	14	0	0.626760682	0	0	0	0	0	0	0	0	0	0	0	3
42	14	0	0.642047528	0	0	0	0	0	0	0	0	0	0	0	3
43	15	0	0.657334374	0	0	0	0	0	0	0	0	0	0	0	3
44	15	0	0.67262122	0	0	0	0	0	0	0	0	0	0	0	3
45	15	0	0.687908066	0	0	0	0	0	0	0	0	0	0	0	3
46	15	0	0.703194912	0	0	0	0	0	0	0	0	0	0	0	3
47	16	0	0.718481757	0	0	0	0	0	0	0	0	0	0	0	3
48	16	0	0.733768603	0	0	0	0	0	0	0	0	0	0	0	3
49	16	0	0.749055449	0	0	0	0	0	0	0	0	0	0	0	3
50	17	0	0.764342295	0	0	0	0	0	0	0	0	0	0	0	3
51	17	0	0.779629141	0	0	0	0	0	0	0	0	0	0	0	3
52	17	0	0.794915987	0	0	0	0	0	0	0	0	0	0	0	3
53	17	0	0.810202833	0	0	0	0	0	0	0	0	0	0	0	3
54	18	0	0.825489679	0	0	0	0	0	0	0	0	0	0	0	3
55	18	0	0.840776525	0	0	0	0	0	0	0	0	0	0	0	3
56	18	0	0.856063371	0	0	0	0	0	0	0	0	0	0	0	3
57	19	0	0.871350216	0	0	0	0	0	0	0	0	0	0	0	3
58	19	0	0.886637062	0	0	0	0	0	0	0	0	0	0	0	3
59	19	0	0.901923908	0	0	0	0	0	0	0	0	0	0	0	3
60	19	0	0.917210754	0	0	0	0	0	0	0	0	0	0	0	3
61	20	0	0.9324976	0	0	0	0	0	0	0	0	0	0	0	3
62	20	0	0.947784446	0	0	0	0	0	0	0	0	0	0	0	3
63	20	0	0.963071292	0	0	0	0	0	0	0	0	0	0	0	3
64	21	0	0.978358138	0	0	0	0	0	0	0	0	0	0	0	3
65	21	0	0.993644984	0	0	0	0	0	0	0	0	0	0	0	3
66	21	0	1.00893183	0	0	0	0	0	5e-06	0	100	0	0	0	3
