Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
55	18	0	0.840776525	293.2	293.2	293.2	293.2	1.08911991e-10	0	0	0	4.91866e-10	0	0	3
56	18	0	0.856063371	293.2	293.2	293.2	293.2	1.084004e-10	0	0	0	4.9306e-10	0	0	3
57	19	0	0.871350216	293.2	293.2	293.2	293.2	1.06865627e-10	0	0	0	4.96755e-10	0	0	3
58	19	0	0.886637062	293.2	293.2	293.2	293.2	1.06808784e-10	0	0	0	5.00336e-10	0	0	3
59	19	0	0.901923908	293.2	293.2	293.2	293.2	1.05615072e-10	0	0	0	5.0386e-10	0	0	3
60	19	0	0.917210754	293.2	293.2	293.2	293.2	1.04932951e-10	0	0	0	5.07441e-10	0	0	3
61	20	0	0.9324976	293.2	293.2	293.2	293.2	1.04591891e-10	0	0	0	5.07498e-10	0	0	3
62	20	0	0.947784446	293.2	293.2	293.2	293.2	1.04023457e-10	0	0	0	5.10852e-10	0	0	3
63	20	0	0.963071292	293.2	293.2	293.2	293.2	1.03455022e-10	0	0	0	5.14206e-10	0	0	3
64	21	0	0.978358138	293.2	293.2	293.2	293.2	1.02204467e-10	0	0	0	5.17502e-10	0	0	3
65	21	0	0.993644984	293.2	293.2	293.2	293.2	1.02147624e-10	0	0	0	5.20686e-10	0	0	3
66	21	0	1.00893183	293.2	293.2	293.2	293.2	1.01522346e-10	2.932e-06	0	100	5.19663e-10	0	0	3
